id,symbol,headline,source,summary,published_at,sentiment,tag
"1","NVDA","NVIDIA guides data-center above the street as Blackwell ramps","The Book Wire","Management framed supply, not demand, as the constraint into H2. Networking attach rates surprised.","2026-09-24T15:03:33.508+00:00","up","Earnings"
"2","AAPL","Apple services mix hits a new high even as iPhone units cool","Pacific Ledger","A quieter print. Installed base economics doing the work the hardware cycle isn't.","2026-09-24T12:03:33.508+00:00","flat","Earnings"
"3","NVO","Novo cuts full-year Wegovy guidance on compounding pharmacies","North Sea Notes","The stock is paying for a messy channel. Franchise intact; timeline longer.","2026-09-24T10:03:33.508+00:00","down","Guidance"
"4","ASML","ASML: Chinese tool restrictions bite less than feared in Q1 book","Eindhoven Tape","Order mix still High-NA heavy. Taiwan and Korea remain the spine of the backlog.","2026-09-24T07:03:33.508+00:00","up","Orders"
"5","","FOMC minutes: patience is the policy, not a pivot","Meridian Desk","Cuts remain data-dependent. The front end barely moved; long bonds sold a few ticks.","2026-09-24T04:03:33.508+00:00","flat","Macro"
"6","META","Meta lifts capex again — and the ads engine still funds it","Bay Tape","Reels and Advantage+ keep converting. Reality Labs is a rounding error versus 2022.","2026-09-24T00:03:33.508+00:00","up","Capex"
"7","LLY","Lilly Indiana fill-finish line certified; orals still 2026","Lakeshore File","Supply was the bear case. Certification doesn't end it, but it bends the curve.","2026-09-23T20:03:33.508+00:00","up","Pipeline"
"8","BND","Real yields back to the top of the year range","Rates Atlas","Duration hurt today. The ballast sleeve is earning its keep on carry, not mark-to-market.","2026-09-23T16:03:33.508+00:00","down","Rates"
"9","TSM","TSMC Arizona Phase 2 wafer-out slipped a quarter — Street shrugs","Foundry Wire","N2 in Taiwan is the number that matters. Arizona is politics with a P&L.","2026-09-23T12:03:33.508+00:00","flat","Capex"
"10","MC","LVMH: China traffic still patchy, US wholesale cleaner","Rue Cambon","Fashion & Leather goods in line. Watches remain the soft patch.","2026-09-23T08:03:33.508+00:00","flat","Demand"
"11","JPM","Dimon: credit is 'fine', capital markets are better than fine","Hudson File","NII guide held. IB fees doing the surprising.","2026-09-23T02:03:33.508+00:00","up","Credit"
"12","GLD","Gold holds the high plateau as official-sector buying persists","Bullion Note","Not a melt-up. A grind, which is what the sleeve was built for.","2026-09-22T20:03:33.508+00:00","up","Metals"
"13","SAP","SAP cloud backlog inflects; margin bridge now visible","Rhine Ledger","The mix-shift story the book has been waiting on. Execution still the risk.","2026-09-22T14:03:33.508+00:00","up","Earnings"
"14","VNQ","Office REITs still the millstone; towers and data centers carry VNQ","Brick Tape","Index composition is doing as much work as rates. We stay small.","2026-09-22T08:03:33.508+00:00","down","Real Assets"
"15","","Dollar slips on a quiet Monday — EUR cash marks a hair higher","FX Desk","Nothing structural. Useful for the European add-on window.","2026-09-24T13:03:33.508+00:00","flat","FX"
